year,sex,nus,ntu,smu,sit,sutd,suss,nie,singapore_polytechnic,ngee_ann_polytechnic,temasek_polytechnic,nanyang_polytechnic,republic_polytechnic,lasalle_diploma,lasalle_degree,nafa_diploma,nafa_degree,ite
2007,MF,23578,20206,5178.0,,,,2725,14399,14687,15243.0,14874.0,8087.0,1948.0,,2114.0,,24370
2007,F,12396,9769,2758.0,,,,1878,5249,7007,7541.0,7732.0,4205.0,1228.0,,1396.0,,8235
2007,M,11182,10437,2420.0,,,,847,9150,7680,7702.0,7142.0,3882.0,720.0,,718.0,,16135
2008,MF,24086,21097,5721.0,,,,2581,14986,15123,15615.0,15225.0,10188.0,1887.0,,2190.0,,24593
2008,F,12663,10409,2993.0,,,,1758,5605,7214,7587.0,7866.0,5257.0,1202.0,,1475.0,,8479
2008,M,11423,10688,2728.0,,,,823,9381,7909,8028.0,7359.0,4931.0,685.0,,715.0,,16114
2009,MF,24798,22450,6331.0,,,,2804,15523,15417,15791.0,15656.0,12179.0,1771.0,,2144.0,,24846
2009,F,12944,11105,3295.0,,,,1896,6034,7436,7676.0,8150.0,6304.0,1143.0,,1460.0,,8844
2009,M,11854,11345,3036.0,,,,908,9489,7981,8115.0,7506.0,5875.0,628.0,,684.0,,16002
2010,MF,25189,22862,6721.0,523.0,,,2816,15928,15942,15933.0,16183.0,13003.0,1754.0,,2269.0,,24789
2010,F,13067,11389,3525.0,275.0,,,1886,6453,7655,7804.0,8387.0,6729.0,1137.0,,1532.0,,8856
2010,M,12122,11473,3196.0,248.0,,,930,9475,8287,8129.0,7796.0,6274.0,617.0,,737.0,,15933
2011,MF,25513,23040,6853.0,1416.0,,,2579,15949,16139,16020.0,16408.0,13927.0,1623.0,,2217.0,20.0,25279
2011,F,13066,11354,3523.0,732.0,,,1759,6432,7703,7894.0,8440.0,7209.0,1011.0,,1510.0,9.0,9158
2011,M,12447,11686,3330.0,684.0,,,820,9517,8436,8126.0,7968.0,6718.0,612.0,,707.0,11.0,16121
2012,MF,25979,22862,7108.0,2587.0,327.0,,2445,15972,16430,16005.0,16076.0,14520.0,1353.0,1081.0,2225.0,43.0,25370
2012,F,13295,11386,3684.0,1246.0,149.0,,1624,6327,7788,7855.0,8197.0,7583.0,854.0,771.0,1531.0,22.0,9085
2012,M,12684,11476,3424.0,1341.0,178.0,,821,9645,8642,8150.0,7879.0,6937.0,499.0,310.0,694.0,21.0,16285
2013,MF,26156,22777,7297.0,3051.0,583.0,,1838,15878,16581,16250.0,16266.0,14995.0,1253.0,1290.0,2037.0,51.0,26288
2013,F,13532,11517,3789.0,1317.0,249.0,,1216,6167,7866,7934.0,8242.0,7910.0,769.0,956.0,1419.0,25.0,9428
2013,M,12624,11260,3508.0,1734.0,334.0,,622,9711,8715,8316.0,8024.0,7085.0,484.0,334.0,618.0,26.0,16860
