year,level,course,sex,enrolment_preu
1982,Pre-University 3,Science,MF,697.0
1982,Pre-University 3,Science,F,253.0
1982,Pre-University 3,Science,M,444.0
1983,Junior College 1,Arts,MF,1276.0
1983,Junior College 1,Arts,F,917.0
1983,Junior College 1,Arts,M,359.0
1983,Junior College 1,Commerce,MF,1326.0
1983,Junior College 1,Commerce,F,1010.0
1983,Junior College 1,Commerce,M,316.0
1983,Junior College 1,Science,MF,3908.0
1983,Junior College 1,Science,F,1622.0
1983,Junior College 1,Science,M,2286.0
1983,Junior College 2,Arts,MF,1013.0
1983,Junior College 2,Arts,F,697.0
1983,Junior College 2,Arts,M,316.0
1983,Junior College 2,Commerce,MF,1426.0
1983,Junior College 2,Commerce,F,1095.0
1983,Junior College 2,Commerce,M,331.0
1983,Junior College 2,Science,MF,3421.0
1983,Junior College 2,Science,F,1241.0
1983,Junior College 2,Science,M,2180.0
1983,Pre-University 1,Arts,MF,843.0
1983,Pre-University 1,Arts,F,550.0
1983,Pre-University 1,Arts,M,293.0
1983,Pre-University 1,Commerce,MF,1175.0
1983,Pre-University 1,Commerce,F,794.0
1983,Pre-University 1,Commerce,M,381.0
1983,Pre-University 1,Science,MF,770.0
1983,Pre-University 1,Science,F,323.0
1983,Pre-University 1,Science,M,447.0
1983,Pre-University 2,Arts,MF,471.0
1983,Pre-University 2,Arts,F,320.0
1983,Pre-University 2,Arts,M,151.0
1983,Pre-University 2,Commerce,MF,980.0
1983,Pre-University 2,Commerce,F,651.0
1983,Pre-University 2,Commerce,M,329.0
1983,Pre-University 2,Science,MF,401.0
1983,Pre-University 2,Science,F,154.0
1983,Pre-University 2,Science,M,247.0
1983,Pre-University 3,Arts,MF,433.0
1983,Pre-University 3,Arts,F,280.0
1983,Pre-University 3,Arts,M,153.0
1983,Pre-University 3,Commerce,MF,1244.0
1983,Pre-University 3,Commerce,F,853.0
1983,Pre-University 3,Commerce,M,391.0
1983,Pre-University 3,Science,MF,518.0
1983,Pre-University 3,Science,F,164.0
1983,Pre-University 3,Science,M,354.0
1984,Junior College 1,Arts,MF,1412.0
1984,Junior College 1,Arts,F,1006.0
1984,Junior College 1,Arts,M,406.0
1984,Junior College 1,Commerce,MF,1802.0
1984,Junior College 1,Commerce,F,1335.0
1984,Junior College 1,Commerce,M,467.0
1984,Junior College 1,Science,MF,4587.0
1984,Junior College 1,Science,F,1729.0
1984,Junior College 1,Science,M,2858.0
1984,Junior College 2,Arts,MF,1325.0
1984,Junior College 2,Arts,F,942.0
1984,Junior College 2,Arts,M,383.0
1984,Junior College 2,Commerce,MF,1415.0
1984,Junior College 2,Commerce,F,1072.0
1984,Junior College 2,Commerce,M,343.0
1984,Junior College 2,Science,MF,4168.0
1984,Junior College 2,Science,F,1697.0
1984,Junior College 2,Science,M,2471.0
1984,Pre-University 1,Arts,MF,779.0
1984,Pre-University 1,Arts,F,448.0
1984,Pre-University 1,Arts,M,331.0
1984,Pre-University 1,Commerce,MF,1199.0
1984,Pre-University 1,Commerce,F,810.0
1984,Pre-University 1,Commerce,M,389.0
1984,Pre-University 1,Science,MF,487.0
1984,Pre-University 1,Science,F,200.0
1984,Pre-University 1,Science,M,287.0
1984,Pre-University 2,Arts,MF,770.0
1984,Pre-University 2,Arts,F,509.0
1984,Pre-University 2,Arts,M,261.0
1984,Pre-University 2,Commerce,MF,1070.0
1984,Pre-University 2,Commerce,F,724.0
1984,Pre-University 2,Commerce,M,346.0
1984,Pre-University 2,Science,MF,553.0
1984,Pre-University 2,Science,F,247.0
1984,Pre-University 2,Science,M,306.0
1984,Pre-University 3,Arts,MF,483.0
1984,Pre-University 3,Arts,F,327.0
1984,Pre-University 3,Arts,M,156.0
1984,Pre-University 3,Commerce,MF,1015.0
1984,Pre-University 3,Commerce,F,658.0
1984,Pre-University 3,Commerce,M,357.0
1984,Pre-University 3,Science,MF,406.0
1984,Pre-University 3,Science,F,148.0
1984,Pre-University 3,Science,M,258.0
1985,Junior College 1,Arts,MF,2061.0
1985,Junior College 1,Arts,F,1534.0
1985,Junior College 1,Arts,M,527.0
1985,Junior College 1,Commerce,MF,2131.0
1985,Junior College 1,Commerce,F,1589.0
1985,Junior College 1,Commerce,M,542.0
1985,Junior College 1,Science,MF,5636.0
1985,Junior College 1,Science,F,2147.0
1985,Junior College 1,Science,M,3489.0
1985,Junior College 2,Arts,MF,1425.0
1985,Junior College 2,Arts,F,1015.0
1985,Junior College 2,Arts,M,410.0
